timestamp,page_url,user_id,traffic_source,session_id,event_type
3/10/2024 8:00,/,user101,direct,session001,page_view
3/10/2024 8:01,/products,user101,direct,session001,page_view
3/10/2024 8:03,/products/electronics,user101,direct,session001,page_view
3/10/2024 8:05,/products/electronics/laptops,user101,direct,session001,page_view
3/10/2024 8:07,/products/electronics/laptops/mac-pro,user101,direct,session001,page_view
3/10/2024 8:08,/products/electronics/laptops/mac-pro,user101,direct,session001,click
3/10/2024 8:10,/cart,user101,direct,session001,page_view
3/10/2024 8:12,/checkout,user101,direct,session001,page_view
3/10/2024 8:15,/thank-you,user101,direct,session001,page_view
3/10/2024 8:20,/,user102,search,session002,page_view
3/10/2024 8:21,/about,user102,search,session002,page_view
3/10/2024 8:23,/contact,user102,search,session002,page_view
3/10/2024 8:24,/contact,user102,search,session002,click
3/10/2024 8:30,/,user103,social,session003,page_view
3/10/2024 8:32,/blog,user103,social,session003,page_view
3/10/2024 8:35,/blog/top-10-products,user103,social,session003,page_view
3/10/2024 8:40,/products,user103,social,session003,page_view
3/10/2024 8:45,/,user104,referral,session004,page_view
3/10/2024 8:46,/products,user104,referral,session004,page_view
3/10/2024 8:50,/,user105,email,session005,page_view
3/10/2024 8:51,/special-offer,user105,email,session005,page_view
3/10/2024 8:53,/special-offer,user105,email,session005,click
3/10/2024 8:55,/cart,user105,email,session005,page_view
3/10/2024 8:58,/checkout,user105,email,session005,page_view
3/10/2024 9:00,/thank-you,user105,email,session005,page_view
3/10/2024 9:05,/,user106,search,session006,page_view
3/10/2024 9:10,/,user107,direct,session007,page_view
3/10/2024 9:11,/products,user107,direct,session007,page_view
3/10/2024 9:15,/,user108,social,session008,page_view
3/10/2024 9:17,/blog,user108,social,session008,page_view
3/10/2024 9:20,/,user109,search,session009,page_view
3/10/2024 9:21,/products,user109,search,session009,page_view
3/10/2024 9:23,/products/clothing,user109,search,session009,page_view
3/10/2024 9:25,/,user110,direct,session010,page_view
3/10/2024 9:30,/,user111,social,session011,page_view
3/10/2024 9:32,/blog,user111,social,session011,page_view
3/10/2024 9:35,/,user112,search,session012,page_view
3/10/2024 9:37,/faq,user112,search,session012,page_view
3/10/2024 9:40,/,user113,referral,session013,page_view
3/10/2024 9:45,/,user101,direct,session014,page_view
3/10/2024 9:46,/account,user101,direct,session014,page_view
3/10/2024 9:48,/account/orders,user101,direct,session014,page_view
3/10/2024 9:50,/,user114,search,session015,page_view
3/10/2024 9:51,/products,user114,search,session015,page_view
3/10/2024 9:53,/products/electronics,user114,search,session015,page_view
3/10/2024 9:55,/,user115,direct,session016,page_view
3/10/2024 10:00,/,user116,social,session017,page_view
3/10/2024 10:02,/blog,user116,social,session017,page_view
3/10/2024 10:05,/,user117,search,session018,page_view
3/10/2024 10:06,/contact,user117,search,session018,page_view
3/10/2024 10:07,/contact,user117,search,session018,click
3/10/2024 10:10,/,user118,direct,session019,page_view
3/10/2024 10:15,/,user119,social,session020,page_view
3/10/2024 10:16,/blog,user119,social,session020,page_view
3/10/2024 10:18,/blog/recent-news,user119,social,session020,page_view
3/10/2024 10:20,/,user120,search,session021,page_view
3/10/2024 10:21,/products,user120,search,session021,page_view
3/10/2024 10:23,/products/home-goods,user120,search,session021,page_view
3/10/2024 10:25,/products/home-goods/kitchen,user120,search,session021,page_view
3/10/2024 10:26,/products/home-goods/kitchen/blenders,user120,search,session021,page_view
3/10/2024 10:27,/products/home-goods/kitchen/blenders,user120,search,session021,click
3/10/2024 10:30,/cart,user120,search,session021,page_view
3/10/2024 10:32,/checkout,user120,search,session021,page_view
3/10/2024 10:35,/thank-you,user120,search,session021,page_view
3/10/2024 10:40,/,user121,referral,session022,page_view
3/10/2024 10:45,/,user122,email,session023,page_view
3/10/2024 10:47,/special-offer,user122,email,session023,page_view
3/10/2024 10:48,/special-offer,user122,email,session023,click
3/10/2024 10:50,/,user123,search,session024,page_view
3/10/2024 10:55,/,user124,direct,session025,page_view
3/10/2024 10:56,/products,user124,direct,session025,page_view
3/10/2024 10:58,/products/electronics,user124,direct,session025,page_view
3/10/2024 11:00,/,user125,social,session026,page_view
3/10/2024 11:02,/blog,user125,social,session026,page_view
3/10/2024 11:05,/,user126,search,session027,page_view
3/10/2024 11:06,/faq,user126,search,session027,page_view
3/10/2024 11:10,/,user127,direct,session028,page_view
3/10/2024 11:15,/,user128,social,session029,page_view
3/10/2024 11:17,/blog,user128,social,session029,page_view
3/10/2024 11:20,/,user129,search,session030,page_view
3/10/2024 11:21,/products,user129,search,session030,page_view
3/10/2024 11:25,/,user130,referral,session031,page_view
3/10/2024 11:30,/,user131,email,session032,page_view
3/10/2024 11:31,/newsletter-signup,user131,email,session032,page_view
3/10/2024 11:32,/newsletter-signup,user131,email,session032,click
3/10/2024 11:35,/thank-you-signup,user131,email,session032,page_view
3/10/2024 11:40,/,user132,search,session033,page_view
3/10/2024 11:45,/,user133,direct,session034,page_view
3/10/2024 11:47,/products,user133,direct,session034,page_view
3/10/2024 11:50,/,user134,social,session035,page_view
3/10/2024 11:52,/blog,user134,social,session035,page_view
3/10/2024 11:55,/,user135,search,session036,page_view
3/10/2024 11:56,/contact,user135,search,session036,page_view
3/10/2024 11:58,/contact,user135,search,session036,click
3/10/2024 12:00,/,user136,direct,session037,page_view
3/10/2024 12:05,/,user137,social,session038,page_view
3/10/2024 12:06,/blog,user137,social,session038,page_view
3/10/2024 12:10,/,user138,search,session039,page_view
3/10/2024 12:12,/products,user138,search,session039,page_view
3/10/2024 12:15,/products/clothing,user138,search,session039,page_view
3/10/2024 12:20,/,user139,referral,session040,page_view
3/10/2024 12:25,/,user140,email,session041,page_view
3/10/2024 12:27,/special-offer,user140,email,session041,page_view
3/10/2024 12:28,/special-offer,user140,email,session041,click
3/10/2024 12:30,/cart,user140,email,session041,page_view
3/10/2024 12:32,/checkout,user140,email,session041,page_view
3/10/2024 12:35,/thank-you,user140,email,session041,page_view
3/10/2024 12:40,/,user141,search,session042,page_view
3/10/2024 12:45,/,user142,direct,session043,page_view
3/10/2024 12:47,/products,user142,direct,session043,page_view
3/10/2024 12:50,/,user143,social,session044,page_view
3/10/2024 12:52,/blog,user143,social,session044,page_view
3/10/2024 12:55,/,user144,search,session045,page_view
3/10/2024 12:57,/about,user144,search,session045,page_view
3/10/2024 13:00,/,user145,direct,session046,page_view
3/10/2024 13:05,/,user146,social,session047,page_view
3/10/2024 13:07,/blog,user146,social,session047,page_view
3/10/2024 13:10,/,user147,search,session048,page_view
3/10/2024 13:12,/products,user147,search,session048,page_view
3/10/2024 13:15,/products/electronics,user147,search,session048,page_view
3/10/2024 13:17,/products/electronics/phones,user147,search,session048,page_view
3/10/2024 13:19,/products/electronics/phones/iphone,user147,search,session048,page_view
3/10/2024 13:20,/products/electronics/phones/iphone,user147,search,session048,click
3/10/2024 13:25,/cart,user147,search,session048,page_view
3/10/2024 13:30,/,user148,referral,session049,page_view
3/10/2024 13:35,/,user149,email,session050,page_view
3/10/2024 13:36,/newsletter-signup,user149,email,session050,page_view
3/10/2024 13:37,/newsletter-signup,user149,email,session050,click
3/10/2024 13:40,/,user150,search,session051,page_view
3/10/2024 13:45,/,user101,direct,session052,page_view
3/10/2024 13:46,/account,user101,direct,session052,page_view
3/10/2024 13:48,/account/orders,user101,direct,session052,page_view
3/10/2024 13:50,/,user151,social,session053,page_view
3/10/2024 13:52,/blog,user151,social,session053,page_view
3/10/2024 13:55,/,user152,search,session054,page_view
3/10/2024 13:57,/faq,user152,search,session054,page_view
3/10/2024 14:00,/,user153,direct,session055,page_view
3/10/2024 14:05,/,user154,social,session056,page_view
3/10/2024 14:07,/blog,user154,social,session056,page_view
3/10/2024 14:10,/blog/tech-news,user154,social,session056,page_view
3/10/2024 14:15,/,user155,search,session057,page_view
3/10/2024 14:17,/products,user155,search,session057,page_view
3/10/2024 14:20,/,user156,referral,session058,page_view
3/10/2024 14:25,/,user157,email,session059,page_view
3/10/2024 14:26,/special-offer,user157,email,session059,page_view
3/10/2024 14:28,/special-offer,user157,email,session059,click
3/10/2024 14:30,/cart,user157,email,session059,page_view
3/10/2024 14:32,/checkout,user157,email,session059,page_view
3/10/2024 14:35,/thank-you,user157,email,session059,page_view
3/10/2024 14:40,/,user158,search,session060,page_view
3/10/2024 14:45,/,user159,direct,session061,page_view
3/10/2024 14:47,/products,user159,direct,session061,page_view
3/10/2024 14:50,/products/home-goods,user159,direct,session061,page_view
3/10/2024 14:55,/,user160,social,session062,page_view
3/10/2024 14:57,/blog,user160,social,session062,page_view
3/10/2024 15:00,/,user161,search,session063,page_view
3/10/2024 15:02,/contact,user161,search,session063,page_view
3/10/2024 15:03,/contact,user161,search,session063,click
3/10/2024 15:05,/,user162,direct,session064,page_view
3/10/2024 15:10,/,user163,social,session065,page_view
3/10/2024 15:12,/blog,user163,social,session065,page_view
3/10/2024 15:15,/,user164,search,session066,page_view
3/10/2024 15:17,/products,user164,search,session066,page_view
3/10/2024 15:20,/products/clothing,user164,search,session066,page_view
3/10/2024 15:22,/products/clothing/shirts,user164,search,session066,page_view
3/10/2024 15:25,/,user165,referral,session067,page_view
3/10/2024 15:30,/,user166,email,session068,page_view
3/10/2024 15:31,/newsletter-signup,user166,email,session068,page_view
3/10/2024 15:32,/newsletter-signup,user166,email,session068,click
3/10/2024 15:35,/thank-you-signup,user166,email,session068,page_view
3/11/2024 8:00,/,user167,direct,session069,page_view
3/11/2024 8:02,/products,user167,direct,session069,page_view
3/11/2024 8:05,/products/electronics,user167,direct,session069,page_view
3/11/2024 8:07,/products/electronics/laptops,user167,direct,session069,page_view
3/11/2024 8:10,/,user168,search,session070,page_view
3/11/2024 8:12,/about,user168,search,session070,page_view
3/11/2024 8:15,/contact,user168,search,session070,page_view
3/11/2024 8:16,/contact,user168,search,session070,click
3/11/2024 8:20,/,user169,social,session071,page_view
3/11/2024 8:22,/blog,user169,social,session071,page_view
3/11/2024 8:25,/blog/top-10-products,user169,social,session071,page_view
3/11/2024 8:30,/,user170,referral,session072,page_view
3/11/2024 8:35,/,user171,email,session073,page_view
3/11/2024 8:36,/special-offer,user171,email,session073,page_view
3/11/2024 8:38,/special-offer,user171,email,session073,click
3/11/2024 8:40,/cart,user171,email,session073,page_view
3/11/2024 8:42,/checkout,user171,email,session073,page_view
3/11/2024 8:45,/thank-you,user171,email,session073,page_view
3/11/2024 8:50,/,user172,search,session074,page_view
3/11/2024 8:55,/,user173,direct,session075,page_view
3/11/2024 8:57,/products,user173,direct,session075,page_view
3/11/2024 9:00,/,user174,social,session076,page_view
3/11/2024 9:02,/blog,user174,social,session076,page_view
3/11/2024 9:05,/,user175,search,session077,page_view
3/11/2024 9:07,/faq,user175,search,session077,page_view
3/11/2024 9:10,/,user176,direct,session078,page_view
3/11/2024 9:15,/,user177,social,session079,page_view
3/11/2024 9:17,/blog,user177,social,session079,page_view
3/11/2024 9:20,/blog/recent-news,user177,social,session079,page_view
3/11/2024 9:25,/,user178,search,session080,page_view
3/11/2024 9:27,/products,user178,search,session080,page_view
3/11/2024 9:30,/products/home-goods,user178,search,session080,page_view
3/11/2024 9:32,/products/home-goods/kitchen,user178,search,session080,page_view
3/11/2024 9:35,/,user179,referral,session081,page_view
3/11/2024 9:40,/,user180,email,session082,page_view
3/11/2024 9:41,/newsletter-signup,user180,email,session082,page_view
3/11/2024 9:42,/newsletter-signup,user180,email,session082,click
3/11/2024 9:45,/thank-you-signup,user180,email,session082,page_view
3/11/2024 9:50,/,user181,search,session083,page_view
3/11/2024 9:55,/,user182,direct,session084,page_view
3/11/2024 9:57,/products,user182,direct,session084,page_view
3/11/2024 10:00,/,user183,social,session085,page_view
3/11/2024 10:02,/blog,user183,social,session085,page_view
3/11/2024 10:05,/,user184,search,session086,page_view
3/11/2024 10:07,/contact,user184,search,session086,page_view
3/11/2024 10:08,/contact,user184,search,session086,click
3/11/2024 10:10,/,user185,direct,session087,page_view
3/11/2024 10:15,/,user186,social,session088,page_view
3/11/2024 10:17,/blog,user186,social,session088,page_view
3/11/2024 10:20,/,user187,search,session089,page_view
3/11/2024 10:22,/products,user187,search,session089,page_view
3/11/2024 10:25,/products/electronics,user187,search,session089,page_view
3/11/2024 10:27,/products/electronics/phones,user187,search,session089,page_view
3/11/2024 10:30,/,user188,referral,session090,page_view
3/11/2024 10:35,/,user189,email,session091,page_view
3/11/2024 10:36,/special-offer,user189,email,session091,page_view
3/11/2024 10:38,/special-offer,user189,email,session091,click
3/11/2024 10:40,/cart,user189,email,session091,page_view
3/11/2024 10:42,/checkout,user189,email,session091,page_view
3/11/2024 10:45,/thank-you,user189,email,session091,page_view
3/11/2024 10:50,/,user190,search,session092,page_view
3/11/2024 10:55,/,user191,direct,session093,page_view
3/11/2024 10:57,/products,user191,direct,session093,page_view
3/11/2024 11:00,/,user192,social,session094,page_view
3/11/2024 11:02,/blog,user192,social,session094,page_view
3/11/2024 11:05,/,user193,search,session095,page_view
3/11/2024 11:07,/faq,user193,search,session095,page_view
3/11/2024 11:10,/,user194,direct,session096,page_view
3/11/2024 11:15,/,user195,social,session097,page_view
3/11/2024 11:17,/blog,user195,social,session097,page_view
3/11/2024 11:20,/blog/tech-news,user195,social,session097,page_view
3/11/2024 11:25,/,user196,search,session098,page_view
3/11/2024 11:27,/products,user196,search,session098,page_view
3/11/2024 11:30,/products/clothing,user196,search,session098,page_view
3/11/2024 11:32,/products/clothing/shoes,user196,search,session098,page_view
3/11/2024 11:35,/products/clothing/shoes/sneakers,user196,search,session098,page_view
3/11/2024 11:36,/products/clothing/shoes/sneakers,user196,search,session098,click
3/11/2024 11:40,/cart,user196,search,session098,page_view
3/11/2024 11:42,/checkout,user196,search,session098,page_view
3/11/2024 11:45,/thank-you,user196,search,session098,page_view
3/11/2024 11:50,/,user197,referral,session099,page_view
3/11/2024 11:55,/,user198,email,session100,page_view
3/11/2024 11:56,/newsletter-signup,user198,email,session100,page_view
3/11/2024 11:57,/newsletter-signup,user198,email,session100,click
3/11/2024 12:00,/thank-you-signup,user198,email,session100,page_view
3/11/2024 12:05,/,user101,direct,session101,page_view
3/11/2024 12:06,/account,user101,direct,session101,page_view
3/11/2024 12:08,/account/orders,user101,direct,session101,page_view
3/11/2024 12:10,/,user199,social,session102,page_view
3/11/2024 12:12,/blog,user199,social,session102,page_view
3/11/2024 12:15,/,user200,search,session103,page_view
3/11/2024 12:17,/about,user200,search,session103,page_view
3/11/2024 12:20,/contact,user200,search,session103,page_view
3/11/2024 12:21,/contact,user200,search,session103,click
3/11/2024 12:25,/,user201,direct,session104,page_view
3/11/2024 12:30,/,user202,social,session105,page_view
3/11/2024 12:32,/blog,user202,social,session105,page_view
3/11/2024 12:35,/,user203,search,session106,page_view
3/11/2024 12:37,/products,user203,search,session106,page_view
3/11/2024 12:40,/products/electronics,user203,search,session106,page_view
3/11/2024 12:42,/products/electronics/headphones,user203,search,session106,page_view
3/11/2024 12:45,/products/electronics/headphones/bluetooth,user203,search,session106,page_view
3/11/2024 12:46,/products/electronics/headphones/bluetooth,user203,search,session106,click
3/11/2024 12:50,/cart,user203,search,session106,page_view
3/11/2024 12:52,/checkout,user203,search,session106,page_view
3/11/2024 12:55,/thank-you,user203,search,session106,page_view
3/12/2024 8:00,/,user204,referral,session107,page_view
3/12/2024 8:05,/,user205,email,session108,page_view
3/12/2024 8:06,/special-offer,user205,email,session108,page_view
3/12/2024 8:07,/special-offer,user205,email,session108,click
3/12/2024 8:10,/cart,user205,email,session108,page_view
3/12/2024 8:12,/checkout,user205,email,session108,page_view
3/12/2024 8:15,/thank-you,user205,email,session108,page_view
3/12/2024 8:20,/,user206,search,session109,page_view
3/12/2024 8:25,/,user207,direct,session110,page_view
3/12/2024 8:27,/products,user207,direct,session110,page_view
3/12/2024 8:30,/,user208,social,session111,page_view
3/12/2024 8:32,/blog,user208,social,session111,page_view
3/12/2024 8:35,/blog/top-10-products,user208,social,session111,page_view
3/12/2024 8:40,/products,user208,social,session111,page_view
3/12/2024 8:45,/,user209,search,session112,page_view
3/12/2024 8:47,/faq,user209,search,session112,page_view
3/12/2024 8:50,/,user210,direct,session113,page_view
3/12/2024 8:55,/,user211,social,session114,page_view
3/12/2024 8:57,/blog,user211,social,session114,page_view
3/12/2024 9:00,/blog/recent-news,user211,social,session114,page_view
3/12/2024 9:05,/,user212,search,session115,page_view
3/12/2024 9:07,/products,user212,search,session115,page_view
3/12/2024 9:10,/products/home-goods,user212,search,session115,page_view
3/12/2024 9:12,/products/home-goods/appliances,user212,search,session115,page_view
3/12/2024 9:15,/products/home-goods/appliances/coffee-makers,user212,search,session115,page_view
3/12/2024 9:16,/products/home-goods/appliances/coffee-makers,user212,search,session115,click
3/12/2024 9:20,/cart,user212,search,session115,page_view
3/12/2024 9:22,/checkout,user212,search,session115,page_view
3/12/2024 9:25,/thank-you,user212,search,session115,page_view
3/12/2024 9:30,/,user213,referral,session116,page_view
3/12/2024 9:35,/,user214,email,session117,page_view
3/12/2024 9:36,/newsletter-signup,user214,email,session117,page_view
3/12/2024 9:37,/newsletter-signup,user214,email,session117,click
3/12/2024 9:40,/thank-you-signup,user214,email,session117,page_view
3/12/2024 9:45,/,user215,search,session118,page_view
3/12/2024 9:50,/,user216,direct,session119,page_view
3/12/2024 9:52,/products,user216,direct,session119,page_view
3/12/2024 9:55,/,user217,social,session120,page_view
3/12/2024 9:57,/blog,user217,social,session120,page_view
3/12/2024 10:00,/,user218,search,session121,page_view
3/12/2024 10:02,/contact,user218,search,session121,page_view
3/12/2024 10:03,/contact,user218,search,session121,click
3/12/2024 10:05,/,user219,direct,session122,page_view
3/12/2024 10:10,/,user220,social,session123,page_view
3/12/2024 10:12,/blog,user220,social,session123,page_view
3/12/2024 10:15,/,user221,search,session124,page_view
3/12/2024 10:17,/products,user221,search,session124,page_view
3/12/2024 10:20,/products/electronics,user221,search,session124,page_view
3/12/2024 10:22,/products/electronics/tablets,user221,search,session124,page_view
3/12/2024 10:25,/,user222,referral,session125,page_view
3/12/2024 10:30,/,user223,email,session126,page_view
3/12/2024 10:31,/special-offer,user223,email,session126,page_view
3/12/2024 10:32,/special-offer,user223,email,session126,click
3/12/2024 10:35,/cart,user223,email,session126,page_view
3/12/2024 10:37,/checkout,user223,email,session126,page_view
3/12/2024 10:40,/thank-you,user223,email,session126,page_view
3/12/2024 10:45,/,user104,referral,session127,page_view
3/12/2024 10:46,/products,user104,referral,session127,page_view
3/12/2024 10:48,/products/electronics,user104,referral,session127,page_view
3/12/2024 10:50,/products/electronics/cameras,user104,referral,session127,page_view
3/12/2024 10:51,/products/electronics/cameras,user104,referral,session127,click
3/12/2024 10:55,/cart,user104,referral,session127,page_view
3/12/2024 10:57,/checkout,user104,referral,session127,page_view
3/12/2024 11:00,/thank-you,user104,referral,session127,page_view
3/12/2024 11:05,/,user224,search,session128,page_view
3/12/2024 11:10,/,user225,direct,session129,page_view
3/12/2024 11:12,/about,user225,direct,session129,page_view
3/12/2024 11:15,/,user226,social,session130,page_view
3/12/2024 11:17,/blog,user226,social,session130,page_view
3/12/2024 11:20,/blog/tech-news,user226,social,session130,page_view
3/12/2024 11:25,/,user227,search,session131,page_view
3/12/2024 11:27,/products,user227,search,session131,page_view
3/12/2024 11:30,/products/clothing,user227,search,session131,page_view
3/12/2024 11:32,/products/clothing/accessories,user227,search,session131,page_view
3/12/2024 11:35,/,user228,referral,session132,page_view
3/12/2024 11:40,/,user229,email,session133,page_view
3/12/2024 11:41,/newsletter-signup,user229,email,session133,page_view
3/12/2024 11:42,/newsletter-signup,user229,email,session133,click
3/12/2024 11:45,/thank-you-signup,user229,email,session133,page_view
3/12/2024 11:50,/,user230,search,session134,page_view
3/12/2024 11:55,/,user231,direct,session135,page_view
3/12/2024 11:57,/products,user231,direct,session135,page_view
3/12/2024 12:00,/products/home-goods,user231,direct,session135,page_view
3/12/2024 12:05,/,user232,social,session136,page_view
3/12/2024 12:07,/blog,user232,social,session136,page_view
3/12/2024 12:10,/,user233,search,session137,page_view
3/12/2024 12:12,/faq,user233,search,session137,page_view
3/12/2024 12:15,/,user234,direct,session138,page_view
3/12/2024 12:20,/,user235,social,session139,page_view
3/12/2024 12:22,/blog,user235,social,session139,page_view
3/12/2024 12:25,/,user236,search,session140,page_view
3/12/2024 12:27,/products,user236,search,session140,page_view
3/12/2024 12:30,/products/electronics,user236,search,session140,page_view
3/12/2024 12:32,/products/electronics/accessories,user236,search,session140,page_view
3/12/2024 12:35,/products/electronics/accessories/chargers,user236,search,session140,page_view
3/12/2024 12:36,/products/electronics/accessories/chargers,user236,search,session140,click
3/12/2024 12:40,/cart,user236,search,session140,page_view
3/12/2024 12:42,/checkout,user236,search,session140,page_view
3/12/2024 12:45,/thank-you,user236,search,session140,page_view
3/12/2024 12:50,/,user237,referral,session141,page_view
3/12/2024 12:55,/,user238,email,session142,page_view
3/12/2024 12:56,/special-offer,user238,email,session142,page_view
3/12/2024 12:57,/special-offer,user238,email,session142,click
3/12/2024 13:00,/cart,user238,email,session142,page_view
3/12/2024 13:02,/checkout,user238,email,session142,page_view
3/12/2024 13:05,/thank-you,user238,email,session142,page_view
3/12/2024 13:10,/,user239,search,session143,page_view
3/12/2024 13:15,/,user240,direct,session144,page_view
3/12/2024 13:17,/products,user240,direct,session144,page_view
3/12/2024 13:20,/,user241,social,session145,page_view
3/12/2024 13:22,/blog,user241,social,session145,page_view
3/12/2024 13:25,/,user242,search,session146,page_view
3/12/2024 13:27,/contact,user242,search,session146,page_view
3/12/2024 13:28,/contact,user242,search,session146,click
3/12/2024 13:30,/,user243,direct,session147,page_view
3/12/2024 13:35,/,user244,social,session148,page_view
3/12/2024 13:37,/blog,user244,social,session148,page_view
3/12/2024 13:40,/blog/recent-news,user244,social,session148,page_view
3/12/2024 13:45,/,user245,search,session149,page_view
3/12/2024 13:47,/products,user245,search,session149,page_view
3/12/2024 13:50,/products/home-goods,user245,search,session149,page_view
3/12/2024 13:52,/products/home-goods/furniture,user245,search,session149,page_view
3/12/2024 13:55,/,user246,referral,session150,page_view
3/12/2024 14:00,/,user247,email,session151,page_view
3/12/2024 14:01,/newsletter-signup,user247,email,session151,page_view
3/12/2024 14:02,/newsletter-signup,user247,email,session151,click
3/12/2024 14:05,/thank-you-signup,user247,email,session151,page_view
